# Source: https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tissue-source-site-codes
# Source: https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations
Study Abbreviation	Study Name	TSS Code	Source Site	BCR
LAML	Acute Myeloid Leukemia	5J	Cureline	NCH
LAML	Acute Myeloid Leukemia	AB	Washington University	NCH
LAML	Acute Myeloid Leukemia	GP	MD Anderson	NCH
LAML	Acute Myeloid Leukemia	IJ	Christiana Healthcare	NCH
LAML	Acute Myeloid Leukemia	PH	Gundersen Lutheran	NCH
LAML	Acute Myeloid Leukemia	Q4	Emory University	NCH
LAML	Acute Myeloid Leukemia	Y3	University of New Mexico	NCH
ACC	Adrenocortical carcinoma	OR	University of Michigan	NCH
ACC	Adrenocortical carcinoma	OU	Roswell Park	NCH
ACC	Adrenocortical carcinoma	P6	Translational Genomics Research Institute	NCH
ACC	Adrenocortical carcinoma	PA	University of Minnesota	NCH
ACC	Adrenocortical carcinoma	PK	University Health Network	NCH
BLCA	Bladder Urothelial Carcinoma	2F	Erasmus MC	NCH
BLCA	Bladder Urothelial Carcinoma	4Z	Barretos Cancer Hospital	NCH
BLCA	Bladder Urothelial Carcinoma	5N	University Hospital Erlangen	NCH
BLCA	Bladder Urothelial Carcinoma	BL	Christiana Healthcare	NCH
BLCA	Bladder Urothelial Carcinoma	BT	University of Pittsburgh	NCH
BLCA	Bladder Urothelial Carcinoma	C4	Indivumed	NCH
BLCA	Bladder Urothelial Carcinoma	CF	ILSBio	NCH
BLCA	Bladder Urothelial Carcinoma	CU	UNC	NCH
BLCA	Bladder Urothelial Carcinoma	DK	Memorial Sloan Kettering	NCH
BLCA	Bladder Urothelial Carcinoma	E5	Roswell Park	NCH
BLCA	Bladder Urothelial Carcinoma	E7	Asterand	NCH
BLCA	Bladder Urothelial Carcinoma	FD	BLN - University Of Chicago	NCH
BLCA	Bladder Urothelial Carcinoma	FJ	BLN - Baylor	NCH
BLCA	Bladder Urothelial Carcinoma	FT	BLN - University of Miami	NCH
BLCA	Bladder Urothelial Carcinoma	G2	MD Anderson	NCH
BLCA	Bladder Urothelial Carcinoma	GC	International Genomics Consortium	NCH
BLCA	Bladder Urothelial Carcinoma	GD	ABS - IUPUI	NCH
BLCA	Bladder Urothelial Carcinoma	GU	BLN - UT Southwestern Medical Center at Dallas	NCH
BLCA	Bladder Urothelial Carcinoma	GV	BLN - Cleveland Clinic	NCH
BLCA	Bladder Urothelial Carcinoma	H4	Medical College of Georgia	NCH
BLCA	Bladder Urothelial Carcinoma	HQ	Ontario Institute for Cancer Research (OICR)	NCH
BLCA	Bladder Urothelial Carcinoma	K4	ABS - Lahey Clinic	NCH
BLCA	Bladder Urothelial Carcinoma	KQ	Cornell Medical College	NCH
BLCA	Bladder Urothelial Carcinoma	LC	Hartford Hospital	NCH
BLCA	Bladder Urothelial Carcinoma	LT	Gundersen Lutheran Health System	NCH
BLCA	Bladder Urothelial Carcinoma	MV	University of Minnesota	NCH
BLCA	Bladder Urothelial Carcinoma	PQ	University of Colorado Denver	NCH
BLCA	Bladder Urothelial Carcinoma	R3	CHI-Penrose Colorado	NCH
BLCA	Bladder Urothelial Carcinoma	S5	University of Oklahoma HSC	NCH
BLCA	Bladder Urothelial Carcinoma	SY	Mayo Clinic Arizona	NCH
BLCA	Bladder Urothelial Carcinoma	UY	University of California San Francisco	NCH
BLCA	Bladder Urothelial Carcinoma	X5	Institute of Human Virology Nigeria	NCH
BLCA	Bladder Urothelial Carcinoma	XF	University of Southern California	NCH
BLCA	Bladder Urothelial Carcinoma	YC	Spectrum Health	NCH
BLCA	Bladder Urothelial Carcinoma	YF	University of Puerto Rico	NCH
BLCA	Bladder Urothelial Carcinoma	ZF	University of Sheffield	NCH
LGG	Brain Lower Grade Glioma	CS	Thomas Jefferson University	IGC
LGG	Brain Lower Grade Glioma	DB	Mayo Clinic - Rochester	IGC
LGG	Brain Lower Grade Glioma	DH	University of Florida	IGC
LGG	Brain Lower Grade Glioma	DU	Henry Ford Hospital	IGC
LGG	Brain Lower Grade Glioma	E1	Duke	IGC
LGG	Brain Lower Grade Glioma	EZ	UNC	IGC
LGG	Brain Lower Grade Glioma	F6	Asterand	IGC
LGG	Brain Lower Grade Glioma	FG	Case Western	IGC
LGG	Brain Lower Grade Glioma	FN	International Genomics Consortium	IGC
LGG	Brain Lower Grade Glioma	HK	Fox Chase	IGC
LGG	Brain Lower Grade Glioma	HT	Case Western - St Joes	IGC
LGG	Brain Lower Grade Glioma	HW	MSKCC	IGC
LGG	Brain Lower Grade Glioma	IK	Christiana Healthcare	IGC
LGG	Brain Lower Grade Glioma	KT	Hartford	IGC
LGG	Brain Lower Grade Glioma	P5	Cureline	NCH
LGG	Brain Lower Grade Glioma	QH	Fondazione-Besta	NCH
LGG	Brain Lower Grade Glioma	R8	MD Anderson	NCH
LGG	Brain Lower Grade Glioma	RY	University of California San Francisco	NCH
LGG	Brain Lower Grade Glioma	S9	Dept of Neurosurgery at University of Heidelberg	NCH
LGG	Brain Lower Grade Glioma	TM	The University of New South Wales	NCH
LGG	Brain Lower Grade Glioma	TQ	University of Sao Paulo	NCH
LGG	Brain Lower Grade Glioma	VM	Huntsman Cancer Institute	NCH
LGG	Brain Lower Grade Glioma	VV	John Wayne Cancer Center	NCH
LGG	Brain Lower Grade Glioma	VW	Northwestern University	NCH
LGG	Brain Lower Grade Glioma	W9	University of Kansas	NCH
LGG	Brain Lower Grade Glioma	WH	Greenville Health System	NCH
LGG	Brain Lower Grade Glioma	WY	Johns Hopkins	NCH
BRCA	Breast invasive carcinoma	3C	Columbia University	NCH
BRCA	Breast invasive carcinoma	3J	Carle Cancer Center	NCH
BRCA	Breast invasive carcinoma	4H	Proteogenex, Inc.	NCH
BRCA	Breast invasive carcinoma	5L	University of Sao Paulo	NCH
BRCA	Breast invasive carcinoma	5T	Holy Cross	NCH
BRCA	Breast invasive carcinoma	A1	UCSF	NCH
BRCA	Breast invasive carcinoma	A2	Walter Reed	NCH
BRCA	Breast invasive carcinoma	A7	Christiana Healthcare	NCH
BRCA	Breast invasive carcinoma	A8	Indivumed	NCH
BRCA	Breast invasive carcinoma	AC	International Genomics Consortium	NCH
BRCA	Breast invasive carcinoma	AN	Cureline	NCH
BRCA	Breast invasive carcinoma	AO	MSKCC	NCH
BRCA	Breast invasive carcinoma	AQ	UNC	NCH
BRCA	Breast invasive carcinoma	AR	Mayo	NCH
BRCA	Breast invasive carcinoma	B6	Duke	NCH
BRCA	Breast invasive carcinoma	BH	University of Pittsburgh	NCH
BRCA	Breast invasive carcinoma	C8	ILSBio	NCH
BRCA	Breast invasive carcinoma	D8	Greater Poland Cancer Center	NCH
BRCA	Breast invasive carcinoma	E2	Roswell Park	NCH
BRCA	Breast invasive carcinoma	E9	Asterand	NCH
BRCA	Breast invasive carcinoma	EW	University of Miami	NCH
BRCA	Breast invasive carcinoma	GI	ABS - IUPUI	NCH
BRCA	Breast invasive carcinoma	GM	MD Anderson	NCH
BRCA	Breast invasive carcinoma	HN	Ontario Institute for Cancer Research (OICR)	NCH
BRCA	Breast invasive carcinoma	JL	ABS - Research Metrics Pakistan	NCH
BRCA	Breast invasive carcinoma	LD	Hartford Hospital	NCH
BRCA	Breast invasive carcinoma	LL	Candler	NCH
BRCA	Breast invasive carcinoma	LQ	Gundersen Lutheran Health System	NCH
BRCA	Breast invasive carcinoma	MS	University of Minnesota	NCH
BRCA	Breast invasive carcinoma	OK	Mount Sinai School of Medicine	NCH
